Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
106,Professional developer,"Yes, I contribute to open source projects",United Kingdom,No,Employed full-time,Doctoral degree,Fine arts or performing arts,"More than half, but not all, the time",Fewer than 10 employees,Non-profit/non-governmental organization or private school/university,10 to 11 years,4 to 5 years,NA,Web developer; Desktop applications developer; Database administrator,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",NA,Between 1 and 2 years ago,Very important,Very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Not very important,Important,Not very important,Not very important,Not very important,Vacation/days off; Private office; Long-term leave; Expected work hours; Remote options,No,JobSite.co.uk; LinkedIn,I saw an employer's advertisement,I visited the company's Web site and found a job listing there,Important,Somewhat important,Important,Somewhat important,Somewhat important,Not very important,Not very important,Somewhat important,Not at all important,Important,NA,NA,Spaces,Somewhat important,Online course; Self-taught; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Company internal community; Built-in help,NA,NA,2:00 PM,C; C#; Common Lisp; Clojure; Java; JavaScript; PHP; Python; SQL,Clojure,React,NA,SQLite,NA,Windows Desktop; Mac OS; WordPress; Amazon Web Services (AWS),Android; iOS,Atom; Notepad++,Turn on some music,Agile; Extreme,Git,Multiple times a day,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Somewhat agree,Customer satisfaction; On time/in budget; Peers' rating,Satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,A lot of influence,Some influence,Some influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,A lot of influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Once or twice,Haven't done at all,Disagree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Agree,Strongly disagree,NA,High school,White or of European descent,Somewhat agree,NA,NA,NA,NA,NA
107,Professional developer,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Bachelor's degree,Mathematics or statistics,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,NA,Desktop applications developer,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,I am not interested in new job opportunities,NA,More than 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None of these,No,NA,Something else,"A friend, family member, or former colleague told me",Somewhat important,Important,Very important,Not very important,Not very important,Somewhat important,Somewhat important,Not very important,Not very important,Important,NA,NA,Both,Not very important,Industry certification; Self-taught; Open source contributions,Stack Overflow Q&A; Non-Stack online communities,NA,NA,9:00 AM,C#; Go; SQL,C#; Go; SQL,Firebase,Firebase,SQL Server; SQLite,SQL Server; SQLite,Windows Desktop; Amazon Web Services (AWS); Microsoft Azure,Windows Desktop; Raspberry Pi; Amazon Web Services (AWS); Microsoft Azure,Visual Studio; Visual Studio Code,Keep the room absolutely quiet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,A lot of influence,A lot of influence,Not much influence,Some influence,Not much influence,Some influence,Not much influence,Not much influence,No influence at all,Some influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; iOS browser,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Several times,Once or twice,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Strongly disagree,Male,Primary/elementary school,White or of European descent,Disagree,Somewhat agree,Disagree,Somewhat agree,NA,NA
108,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,A natural science,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Less than a year,NA,Desktop applications developer,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",3,Less than a year ago,Somewhat important,Not at all important,Not at all important,Not at all important,Not very important,Very important,Important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Annual bonus; Health benefits; Remote options; Child/elder care,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,Somewhat important,Self-taught,Stack Overflow Q&A; Non-Stack online communities; Company internal community; Other,NA,NA,7:00 AM,C; Python,C#; Common Lisp; R; Rust; SQL,NA,.NET Core,NA,SQL Server; MySQL; SQLite,NA,Android; iOS,Vim,Put on a movie or TV show,Agile,Git,Multiple times a day,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Release frequency; Customer satisfaction; On time/in budget; Revenue performance; Manager's rating; Peers' rating; Self-rating,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,9,Desktop,Several times,Once or twice,Several times,Haven't done at all,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Male,A bachelor's degree,South Asian,Disagree,Agree,Disagree,Strongly agree,NA,NA
109,Professional developer,No,United Kingdom,No,Employed full-time,Master's degree,Computer science or software engineering,A few days each month,I don't know,"Privately-held limited company, not in startup mode",9 to 10 years,4 to 5 years,NA,Mobile developer,NA,Windows Phone,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",0,Less than a year ago,Important,Very important,Important,Important,Important,Important,Very important,Important,Very important,Very important,Somewhat important,Somewhat important,Not at all important,Not at all important,Important,Vacation/days off; Health benefits; Remote options; Child/elder care; Meals,No,LinkedIn,I was just giving it a regular update,A general-purpose job board,NA,Important,Important,Not at all important,Somewhat important,Not at all important,Not very important,Somewhat important,Not at all important,Important,British pounds sterling (£),NA,Spaces,Important,Industry certification; Hackathon; Open source contributions,NA,NA,NA,9:00 AM,C#,JavaScript,Xamarin,AngularJS,SQLite,NA,Windows Phone; Microsoft Azure,Android; Amazon Web Services (AWS),Visual Studio,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,9,Desktop; Android browser; Other phone browser,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat agree,Disagree,Male,Primary/elementary school,White or of European descent,Strongly agree,Agree,Disagree,Agree,NA,NA
110,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Primary/elementary school,NA,Never,Fewer than 10 employees,I don't know,20 or more years,2 to 3 years,NA,Web developer,Full stack Web developer,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",1,Between 2 and 4 years ago,Not very important,Important,Not very important,Important,Very important,Important,Very important,Very important,Very important,Very important,Somewhat important,Important,Not at all important,Not at all important,Somewhat important,Vacation/days off; Equipment; Private office; Expected work hours; Remote options,No,NA,I saw an employer's advertisement,A general-purpose job board,Important,Somewhat important,Very important,Somewhat important,Not very important,Not very important,Not very important,Not at all important,Not very important,Very important,NA,NA,Spaces,Not at all important,Online course; Part-time/evening course; Industry certification; Self-taught; Coding competition; Open source contributions,Official documentation; Trade book; Textbook; Stack Overflow Q&A,NA,NA,11:00 AM,JavaScript; Python; Ruby; SQL,C; C++; Common Lisp; Python; SQL,React,Hadoop; Spark,Redis; MySQL; PostgreSQL,PostgreSQL,NA,Android; iOS; Amazon Web Services (AWS),Emacs; Sublime Text; IPython / Jupyter; PyCharm; RubyMine,Keep the room absolutely quiet,Agile; Scrum; Pair,Git,Multiple times a day,Agree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Somewhat agree,Bugs found; Customer satisfaction; On time/in budget; Revenue performance; Peers' rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; iOS browser,Several times,Haven't done at all,Several times,Several times,Several times,Haven't done at all,NA,Haven't done at all,Somewhat agree,Disagree,NA,Disagree,Agree,Agree,Somewhat agree,Disagree,Male,High school,White or of European descent,Disagree,Agree,Strongly disagree,Strongly agree,NA,NA
111,Professional developer,"Yes, I contribute to open source projects",United Kingdom,No,Employed full-time,Bachelor's degree,A business discipline,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",1 to 2 years,1 to 2 years,NA,Web developer,Full stack Web developer,NA,NA,9,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Agree,Somewhat agree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,"I'm not actively looking, but I am open to new opportunities",1,Between 1 and 2 years ago,Important,Important,Somewhat important,Important,Very important,Somewhat important,Important,Important,Somewhat important,Not very important,Not very important,Very important,Not very important,Somewhat important,Important,Annual bonus; Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours,No,LinkedIn,I saw an employer's advertisement,Some other way,Somewhat important,Important,Important,Somewhat important,Somewhat important,Not very important,Not very important,Somewhat important,Not very important,Important,British pounds sterling (£),Somewhat underpaid,Spaces,Not very important,Bootcamp,NA,One to three months,NA,10:00 AM,CoffeeScript; JavaScript; Ruby,C++; Elixir,NA,React,Redis; MySQL,NA,Mac OS,NA,Vim,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,8,Desktop,At least once each day,At least once each week,Once or twice,Haven't done at all,Once or twice,Once or twice,Once or twice,Haven't done at all,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Male,A bachelor's degree,White or of European descent,Agree,Agree,Disagree,Agree,32500,NA
112,Professional developer,"Yes, I program as a hobby",Mexico,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week","10,000 or more employees","Privately-held limited company, not in startup mode",16 to 17 years,5 to 6 years,NA,Web developer; Systems administrator; Quality assurance engineer,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Disagree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",3,Between 2 and 4 years ago,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Very important,Very important,Important,Very important,Very important,Important,Very important,Important,Somewhat important,Important,Annual bonus; Health benefits; Remote options; Child/elder care; Meals,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Somewhat underpaid,Spaces,NA,NA,NA,NA,NA,9:00 AM,C; C++; JavaScript; Perl,C; C++; Common Lisp; Clojure; JavaScript; Perl,Node.js,AngularJS; Node.js; React,MySQL; Oracle,MongoDB; Oracle; SQLite,NA,NA,Vim,Keep the room absolutely quiet,NA,Git,Multiple times a day,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Strongly disagree,Disagree,Lines of code; Customer satisfaction; Revenue performance,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not very satisfied,Satisfied,Some influence,No influence at all,Some influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,Not much influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop; Android browser,At least once each day,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Once or twice,Once or twice,Haven't done at all,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Male,A bachelor's degree,White or of European descent,Strongly agree,Somewhat agree,Disagree,Agree,4e4,NA
113,Professional developer,No,India,No,Employed full-time,Bachelor's degree,A non-computer-focused engineering discipline,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",11 to 12 years,3 to 4 years,NA,Web developer,Back-end Web developer,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,"I'm not actively looking, but I am open to new opportunities",1,Less than a year ago,Very important,Somewhat important,Important,Not very important,Important,Not very important,Very important,Somewhat important,Very important,Very important,Important,Important,Important,Not very important,Very important,Vacation/days off; Charitable match; Expected work hours; Remote options,Yes,LinkedIn; Naukri,I was just giving it a regular update,An external recruiter or headhunter,Somewhat important,Not very important,Important,Somewhat important,Not very important,Important,Somewhat important,Very important,Not at all important,Somewhat important,NA,NA,Spaces,Very important,On-the-job training; Self-taught,Official documentation; Textbook,NA,Master's degree; Take online courses; Buy books and work through the exercises,2:00 PM,Java; SQL,Python; Scala,NA,AngularJS; Hadoop; Spark,MySQL,MongoDB,Windows Desktop; Linux Desktop,Android; Amazon Web Services (AWS),Notepad++; Eclipse,Keep the room absolutely quiet,Agile,Git,A few times a month,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly disagree,Strongly agree,Benchmarked product performance; On time/in budget; Revenue performance; Peers' rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,10,Desktop; Android browser,At least once each week,Several times,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Somewhat agree,Disagree,Male,A bachelor's degree,South Asian,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,NA,NA
114,Professional developer,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Bachelor's degree,Computer programming or Web development,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,1 to 2 years,NA,Desktop applications developer,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,British pounds sterling (£),Somewhat underpaid,Tabs,Somewhat important,Self-taught; Hackathon,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Built-in help,NA,NA,7:00 PM,C++; C#,C++; F#; Python; Rust; TypeScript,NA,NA,NA,NA,Windows Desktop,NA,Visual Studio; Visual Studio Code,Put on a movie or TV show,Agile; Scrum; Kanban,Subversion,A few times a week,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,On time/in budget; Manager's rating; Peers' rating,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,"I've visited Stack Overflow, but haven't logged in/created an account",9,Desktop,At least once each week,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Male,High school,White or of European descent,Agree,Somewhat agree,Disagree,Agree,3e4,NA
115,Student,"Yes, I program as a hobby",Bulgaria,No,"Not employed, and not looking for work",Secondary school,NA,NA,NA,NA,2 to 3 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",NA,Not applicable/ never,Somewhat important,Important,Somewhat important,Very important,Very important,Important,Important,Very important,Not very important,Not at all important,Not very important,Important,Not very important,Somewhat important,Important,Retirement; Annual bonus; Vacation/days off; Equipment; Long-term leave,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euros (€),NA,Tabs,NA,Part-time/evening course; Self-taught; Coding competition; Hackathon,Stack Overflow Q&A; Other,NA,NA,11:00 AM,C#,Assembly; C; C++; C#; Java,Xamarin; .NET Core,.NET Core,MySQL,SQL Server; MySQL; SQLite,Windows Phone; Windows Desktop; Microsoft Azure,NA,Visual Studio,Turn on some music,Pair; Evidence-based SWE,Zip file back-ups,Just a few times over the year,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Disagree,Somewhat agree,Bugs found; Customer satisfaction; On time/in budget; Revenue performance; Peers' rating; Self-rating,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,5,Desktop; Other phone browser,At least once each week,Several times,Once or twice,Haven't done at all,Haven't done at all,At least once each week,At least once each day,Once or twice,Somewhat agree,Strongly disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Male,A professional degree,Middle Eastern; White or of European descent,Somewhat agree,Agree,Disagree,Agree,NA,86021.5053763441
116,Professional developer,"Yes, I contribute to open source projects",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,10 to 11 years,NA,Web developer,Full stack Web developer,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Strongly agree,Disagree,Somewhat agree,Agree,Strongly disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other,I was just giving it a regular update,I visited the company's Web site and found a job listing there,Somewhat important,Not very important,Important,Somewhat important,Not very important,Not at all important,Not at all important,Not very important,Not very important,Important,U.S. dollars ($),Neither underpaid nor overpaid,Both,Somewhat important,Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Friends network; Built-in help,NA,NA,9:00 AM,C#; JavaScript,C#; F#; JavaScript,Node.js,Node.js; .NET Core,SQL Server,SQL Server,NA,NA,Visual Studio; Visual Studio Code,Turn on some music,Scrum; Extreme; Pair,Git,Multiple times a day,Agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Customer satisfaction; Revenue performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop,At least once each week,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Somewhat agree,Strongly disagree,Disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Male,A bachelor's degree,White or of European descent,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,9e4,NA
117,Professional developer,"Yes, both",Spain,No,Employed full-time,Some college/university study without earning a bachelor's degree,I never declared a major,"Less than half the time, but at least one day each week",500 to 999 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,20 or more years,NA,Web developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; Systems administrator; Quality assurance engineer,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",0,More than 4 years ago,Not very important,Not at all important,Not very important,Not very important,Important,Important,Important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Important,Somewhat important,Vacation/days off; Long-term leave; Expected work hours; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,Not at all important,Online course; Industry certification; On-the-job training; Self-taught; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,NA,8:00 AM,Java; JavaScript; SQL,JavaScript,Node.js,Node.js; Cordova,PostgreSQL,PostgreSQL,NA,NA,Atom; Sublime Text; Android Studio; Eclipse; Light Table,Keep the room absolutely quiet,Agile; Scrum; Pair; Kanban,Git,Multiple times a day,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Disagree,Customer satisfaction; Benchmarked product performance; On time/in budget; Peers' rating; Self-rating,Very satisfied,Somewhat satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,I am the final decision maker,Not much influence,No influence at all,Some influence,A lot of influence,Some influence,NA,Some influence,No influence at all,No influence at all,Some influence,"I've visited Stack Overflow, but haven't logged in/created an account",6,Desktop,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Somewhat agree,Agree,Strongly disagree,Disagree,Male,High school,White or of European descent,Agree,Agree,Disagree,Strongly agree,NA,NA
118,Student,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,3 to 4 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,I am actively looking for a job,4,Less than a year ago,Important,Somewhat important,Important,Somewhat important,Important,Important,Very important,Very important,Very important,Somewhat important,Important,Important,Not very important,Very important,Important,Health benefits; Equipment; Private office; Education sponsorship; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,British pounds sterling (£),NA,Tabs,NA,Online course; Part-time/evening course; On-the-job training; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Company internal community; Built-in help,NA,NA,10:00 AM,VB.NET,C#; Ruby,.NET Core,AngularJS; Node.js,MySQL,Oracle,Windows Desktop,Windows Desktop; Linux Desktop,Notepad++; Vim; Visual Studio,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not very satisfied,Not very satisfied,Somewhat satisfied,Satisfied,Satisfied,Satisfied,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,"I've visited Stack Overflow, but haven't logged in/created an account",8,Desktop,At least once each week,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Male,A professional degree,White or of European descent,Disagree,Agree,Disagree,Strongly agree,NA,31250
